s_i,f_i,c_i
1,1,18
1,1,57
1,1,95
20,33,78
1,43,99
68,123,92
109,154,96
1,167,27
128,181,98
91,183,93
1,188,41
110,203,17
1,213,89
1,225,28
60,230,37
133,233,97
114,260,58
105,278,81
1,280,88
124,309,2
1,317,100
182,331,100
104,336,100
284,346,37
328,353,99
100,360,99
136,360,83
1,368,85
297,369,92
1,370,50
71,373,100
105,378,83
310,389,89
117,395,90
304,414,63
200,421,51
393,430,6
111,438,42
310,452,100
231,459,91
424,459,57
111,477,94
431,485,27
252,504,93
155,510,100
452,529,50
352,532,99
192,535,100
168,538,39
466,539,95
451,542,82
330,556,97
379,588,79
511,594,67
517,596,70
469,617,95
367,622,100
539,624,99
572,643,100
502,649,71
650,664,50
461,665,94
574,674,69
408,698,97
583,700,100
680,703,52
352,706,100
621,713,100
574,716,100
341,718,67
489,733,72
661,735,67
588,765,91
493,779,99
732,787,99
735,793,75
651,798,99
575,810,74
555,812,55
501,824,74
608,826,90
577,829,100
835,841,100
747,854,52
803,854,55
754,859,98
740,865,100
860,866,30
645,870,100
583,876,98
742,885,100
579,887,57
664,897,20
522,901,34
608,906,15
739,912,68
800,912,83
873,912,56
871,918,83
731,925,90
791,934,91
789,944,70
760,945,78
891,950,52
823,954,6
689,958,98
844,964,25
876,973,90
861,979,98
982,1027,94
874,1041,91
802,1042,98
1044,1065,72
769,1069,98
835,1080,86
1008,1095,100
914,1108,98
1021,1111,57
860,1117,100
982,1118,100
886,1126,61
873,1142,100
1050,1153,100
1120,1153,97
809,1160,98
814,1160,98
1037,1160,69
860,1161,88
813,1163,69
1169,1175,100
917,1188,93
1013,1196,100
902,1202,85
884,1215,100
1122,1237,98
1146,1237,11
1150,1240,81
1042,1241,12
1169,1257,26
1173,1268,80
1155,1272,66
1190,1296,99
1151,1297,78
1070,1311,97
917,1316,92
1112,1322,30
1154,1322,98
1239,1329,96
1039,1344,100
954,1350,51
1292,1385,100
1386,1386,98
1065,1387,100
1382,1413,67
1222,1416,99
1067,1418,44
1265,1423,100
1160,1448,94
1392,1449,95
1276,1450,98
1236,1464,71
1096,1475,90
1151,1476,89
1172,1484,72
1328,1492,22
1462,1497,86
1220,1518,100
1316,1537,86
1337,1539,22
1233,1542,99
1280,1575,100
1356,1586,70
1547,1611,100
1259,1622,97
1379,1624,37
1257,1628,78
1378,1631,41
1256,1640,81
1480,1647,93
1493,1657,18
1498,1657,24
1633,1670,98
1506,1679,60
1676,1691,91
1666,1694,76
1585,1696,100
1654,1697,30
1665,1708,98
1519,1709,100
1494,1718,29
1476,1720,100
1698,1726,96
1674,1729,44
1513,1731,19
1726,1731,49
1570,1736,91
1355,1738,99
1689,1746,97
1741,1758,100
1503,1782,79
1592,1789,63
1570,1806,100
1756,1810,91
1495,1818,88
1561,1826,46
1598,1827,49
1719,1834,47
1764,1838,98
1746,1845,100
1701,1865,72
1519,1884,100
1776,1884,70
1860,1887,39
1602,1912,15
1831,1923,9
1592,1928,66
1849,1931,21
1596,1954,77
1735,1957,83
1569,1964,98
1941,1964,54
1895,1967,100
1657,1985,53
1948,1985,86
1720,1991,94
1852,1991,98
1633,2000,100
1643,2000,42
1683,2000,65
1693,2000,72
1711,2000,100
1764,2000,94
1768,2000,100
1771,2000,100
1784,2000,100
1790,2000,27
1838,2000,56
1853,2000,13
1869,2000,99
1879,2000,14
1894,2000,72
1896,2000,100
1916,2000,100
1920,2000,50
1924,2000,100
1926,2000,100
1933,2000,100
1957,2000,41
1989,2000,9
1990,2000,61
