s_i,f_i,c_i
1,1,98
1,54,56
54,121,99
72,127,28
1,128,100
104,133,13
1,134,67
1,135,22
1,149,100
1,153,99
1,172,99
86,177,100
93,185,98
154,189,39
61,203,99
1,207,85
153,212,83
57,215,19
173,224,100
58,240,98
1,244,100
100,256,100
226,266,100
57,267,70
17,269,100
113,274,97
173,277,100
149,286,90
227,311,100
329,331,97
147,346,95
150,355,72
272,355,100
1,356,89
28,369,100
1,372,8
144,375,47
300,397,34
393,418,69
284,432,94
365,436,68
53,446,47
318,461,100
281,471,90
151,473,99
293,481,17
358,482,90
209,486,60
379,487,16
415,489,92
394,492,100
364,500,37
474,504,90
476,504,94
448,507,81
247,508,90
207,520,20
240,524,82
496,531,70
457,535,98
161,538,100
517,542,3
185,550,100
218,551,87
253,560,80
460,561,85
278,562,100
284,562,62
453,564,80
320,566,44
545,567,20
396,578,100
544,579,100
427,585,100
482,587,100
287,594,15
531,596,88
327,634,100
479,641,7
633,664,80
553,665,87
487,674,81
570,674,88
459,675,100
422,685,41
511,712,42
367,715,14
620,716,95
437,717,5
436,722,59
489,736,100
500,739,100
596,741,45
416,746,100
734,757,100
730,759,24
721,763,100
493,782,100
565,790,95
552,798,22
712,805,29
789,816,100
526,824,60
610,829,100
687,849,84
667,858,97
817,872,98
506,875,59
822,894,100
777,899,100
745,900,99
698,918,84
892,918,1
822,923,90
711,925,99
822,929,100
681,931,3
544,934,91
784,935,94
711,939,74
841,942,11
896,946,100
679,947,79
917,949,65
638,958,94
587,971,52
746,977,36
866,977,100
771,987,97
761,1016,75
773,1024,100
901,1029,81
980,1029,26
967,1033,78
951,1036,60
740,1042,100
965,1058,47
784,1066,49
1036,1116,99
852,1127,94
827,1133,11
1049,1150,98
815,1162,57
984,1171,94
1133,1180,92
1068,1188,98
823,1189,99
1119,1205,84
988,1218,96
1100,1226,100
853,1232,2
1063,1233,30
1206,1234,100
1077,1241,88
1082,1242,28
1058,1243,97
1056,1246,83
1151,1251,50
863,1259,100
1011,1271,90
1271,1283,71
1055,1294,59
913,1300,93
1050,1306,84
1118,1321,95
986,1331,81
1044,1341,86
1143,1352,77
1343,1352,35
1252,1390,96
1288,1390,100
1089,1407,77
1366,1426,100
1227,1432,94
1115,1442,61
1104,1453,100
1121,1466,100
1289,1482,85
1437,1511,100
1401,1516,86
1412,1519,99
1371,1526,97
1171,1537,79
1507,1562,5
1418,1566,100
1532,1577,99
1230,1624,100
1341,1633,86
1459,1635,46
1522,1644,85
1368,1645,100
1602,1645,100
1400,1652,5
1497,1659,99
1273,1660,69
1534,1663,85
1389,1688,100
1307,1691,85
1671,1697,100
1386,1701,100
1312,1708,96
1517,1720,100
1491,1723,35
1417,1730,89
1572,1731,94
1413,1750,52
1556,1758,99
1412,1763,7
1628,1802,100
1692,1814,58
1470,1818,45
1742,1818,100
1631,1874,71
1825,1876,44
1771,1879,91
1663,1884,100
1872,1886,99
1631,1893,84
1713,1903,100
1881,1905,29
1654,1912,14
1712,1916,28
1818,1922,96
1557,1924,100
1909,1924,57
1896,1934,67
1558,1941,73
1610,1944,69
1775,1952,100
1937,1970,65
1829,1988,77
1679,2000,63
1704,2000,100
1717,2000,67
1728,2000,98
1734,2000,77
1745,2000,81
1747,2000,48
1748,2000,19
1761,2000,84
1764,2000,89
1838,2000,92
1870,2000,38
1885,2000,98
1903,2000,97
1920,2000,96
1947,2000,95
2000,2000,67
2000,2000,71
2000,2000,99
